lane,strategy,contract,arm,track,applications,http,businessObserved,semanticStates,semanticStateUnknown,requestBodies,checkedApplications,checkVerdicts,provenanceErrors,collectorErrors
complementary,source-guided,E1-1,zero-shot,interest,2,"{""200"": 2}",2,2,0,1,2,"{""failed"": 2, ""pass"": 4}",0,0
complementary,source-guided,E1-1,zero-shot,posting,6,"{""200"": 6}",6,6,0,6,6,"{""pass"": 36}",0,0
complementary,source-guided,E1-1,zero-shot,reporting,4,"{""200"": 4}",4,4,0,4,4,"{""failed"": 2, ""not_exercised"": 2, ""pass"": 8}",0,0
complementary,source-guided,E1-2,zero-shot,interest,2,"{""200"": 2}",2,2,0,1,2,"{""failed"": 2, ""pass"": 4}",0,0
complementary,source-guided,E1-2,zero-shot,posting,6,"{""200"": 6}",6,6,0,6,6,"{""pass"": 36}",0,0
complementary,source-guided,E1-2,zero-shot,reporting,4,"{""200"": 4}",4,4,0,4,4,"{""failed"": 2, ""not_exercised"": 2, ""pass"": 8}",0,0
complementary,source-guided,E1-3,zero-shot,interest,2,"{""200"": 2}",2,2,0,1,2,"{""failed"": 2, ""pass"": 4}",0,0
complementary,source-guided,E1-3,zero-shot,posting,6,"{""200"": 6}",6,6,0,6,6,"{""pass"": 36}",0,0
complementary,source-guided,E1-3,zero-shot,reporting,4,"{""200"": 4}",4,4,0,4,4,"{""failed"": 2, ""not_exercised"": 2, ""pass"": 8}",0,0
complementary,source-guided,E2-1,few-shot,interest,2,"{""200"": 2}",2,2,0,1,2,"{""failed"": 2, ""pass"": 4}",0,0
complementary,source-guided,E2-1,few-shot,posting,6,"{""200"": 6}",6,6,0,6,6,"{""pass"": 36}",0,0
complementary,source-guided,E2-1,few-shot,reporting,4,"{""200"": 2, ""400"": 2}",2,2,2,4,2,"{""not_exercised"": 2, ""pass"": 4}",0,0
complementary,source-guided,E2-2,few-shot,interest,2,"{""200"": 2}",2,2,0,1,2,"{""failed"": 2, ""pass"": 4}",0,0
complementary,source-guided,E2-2,few-shot,posting,6,"{""200"": 6}",6,6,0,6,6,"{""pass"": 36}",0,0
complementary,source-guided,E2-2,few-shot,reporting,4,"{""200"": 2, ""400"": 2}",2,2,2,4,2,"{""not_exercised"": 2, ""pass"": 4}",0,0
complementary,source-guided,E2-3,few-shot,interest,2,"{""200"": 2}",2,2,0,1,2,"{""failed"": 2, ""pass"": 4}",0,0
complementary,source-guided,E2-3,few-shot,posting,6,"{""200"": 6}",6,6,0,6,6,"{""pass"": 36}",0,0
complementary,source-guided,E2-3,few-shot,reporting,4,"{""200"": 2, ""400"": 2}",2,2,2,4,2,"{""not_exercised"": 2, ""pass"": 4}",0,0
complementary,source-guided,E3-SDD-stage6r3,SDD,interest,2,"{""200"": 2}",2,2,0,1,2,"{""failed"": 2, ""pass"": 4}",0,0
complementary,source-guided,E3-SDD-stage6r3,SDD,posting,6,"{""200"": 6}",6,6,0,1,6,"{""pass"": 36}",0,0
complementary,source-guided,E3-SDD-stage6r3,SDD,reporting,4,"{""200"": 4}",4,4,0,1,4,"{""failed"": 2, ""not_exercised"": 2, ""pass"": 8}",0,0
official,T1,E1-1,zero-shot,interest,4,"{""500"": 4}",0,0,4,4,0,{},0,0
official,T1,E1-1,zero-shot,posting,3,"{""500"": 3}",0,0,3,3,0,{},0,0
official,T1,E1-1,zero-shot,reporting,3,"{""500"": 3}",0,0,3,3,0,{},0,0
official,T1,E1-2,zero-shot,interest,3,"{""500"": 3}",0,0,3,3,0,{},0,0
official,T1,E1-2,zero-shot,posting,3,"{""500"": 3}",0,0,3,3,0,{},0,0
official,T1,E1-2,zero-shot,reporting,3,"{""500"": 3}",0,0,3,3,0,{},0,0
official,T1,E1-3,zero-shot,interest,4,"{""500"": 4}",0,0,4,4,0,{},0,0
official,T1,E1-3,zero-shot,posting,4,"{""500"": 4}",0,0,4,4,0,{},0,0
official,T1,E1-3,zero-shot,reporting,4,"{""500"": 4}",0,0,4,4,0,{},0,0
official,T1,E2-1,few-shot,interest,6,"{""200"": 3, ""400"": 3}",3,3,3,6,3,"{""pass"": 9}",0,0
official,T1,E2-1,few-shot,posting,6,"{""200"": 3, ""400"": 3}",3,3,3,6,3,"{""pass"": 18}",0,0
official,T1,E2-1,few-shot,reporting,6,"{""200"": 3, ""400"": 2, ""500"": 1}",4,4,2,6,4,"{""not_exercised"": 3, ""pass"": 8}",0,0
official,T1,E2-2,few-shot,interest,4,"{""400"": 4}",0,0,4,4,0,{},0,0
official,T1,E2-2,few-shot,posting,4,"{""400"": 4}",0,0,4,4,0,{},0,0
official,T1,E2-2,few-shot,reporting,4,"{""400"": 4}",0,0,4,4,0,{},0,0
official,T1,E2-3,few-shot,interest,5,"{""200"": 2, ""400"": 3}",2,2,3,5,2,"{""pass"": 6}",0,0
official,T1,E2-3,few-shot,posting,5,"{""200"": 2, ""400"": 3}",2,2,3,5,2,"{""pass"": 12}",0,0
official,T1,E2-3,few-shot,reporting,5,"{""200"": 3, ""400"": 2}",3,2,2,5,3,"{""not_exercised"": 3, ""pass"": 6}",0,0
official,T1,E3-SDD-stage6r3,SDD,interest,4,"{""200"": 1, ""400"": 3}",1,1,3,4,1,"{""pass"": 3}",0,0
official,T1,E3-SDD-stage6r3,SDD,posting,4,"{""200"": 1, ""400"": 3}",1,1,3,4,1,"{""pass"": 6}",0,0
official,T1,E3-SDD-stage6r3,SDD,reporting,4,"{""200"": 1, ""400"": 3}",1,1,3,4,1,"{""not_exercised"": 1, ""pass"": 2}",0,0
official,T2,E1-1,zero-shot,interest,300,"{""500"": 300}",0,0,300,249,0,{},0,0
official,T2,E1-1,zero-shot,posting,300,"{""500"": 300}",0,0,300,257,0,{},0,0
official,T2,E1-1,zero-shot,reporting,300,"{""500"": 300}",0,0,300,261,0,{},0,0
official,T2,E1-2,zero-shot,interest,300,"{""500"": 300}",0,0,300,241,0,{},0,0
