lane,strategy,contract,arm,track,caseId,obligation,partitionContext,semanticInputKey,inputAccepted,businessObserved,effect,authority,verdict,failure,auditPath,limit
complementary,source-guided,E1-1,zero-shot,interest,ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero,INTCALC-OBL-003,"[""default_nonzero"", ""final_account_eof"", ""multiple_accounts"", ""specific_nonzero"", ""specific_zero""]",4a80438c43513c0976600619e5ec75f24cd991afbd1238449d93b6842dfe722d,accepted_to_invocation,True,interest_stable_fields_order,source-derived,pass,[],<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero/replay/applications/0001-d9e65a8e5e8fa792/zero-shot-runs/p2b-runs/interest-nk5s2lwu/audit.json,"[""ASCII signed DISPLAY qualified; overflow unqualified"", ""financial expectation requires final group update; source legacy does not"", ""timestamps and filler excluded from transaction comparison"", ""Unassigned description tail 56:132 excluded: source STRING assigns prefix only""]"
complementary,source-guided,E1-1,zero-shot,interest,ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero,INTCALC-OBL-004,"[""default_nonzero"", ""final_account_eof"", ""multiple_accounts"", ""specific_nonzero"", ""specific_zero""]",4a80438c43513c0976600619e5ec75f24cd991afbd1238449d93b6842dfe722d,accepted_to_invocation,True,interest_stable_fields_order,source-derived,pass,[],<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero/replay/applications/0001-d9e65a8e5e8fa792/zero-shot-runs/p2b-runs/interest-nk5s2lwu/audit.json,"[""ASCII signed DISPLAY qualified; overflow unqualified"", ""financial expectation requires final group update; source legacy does not"", ""timestamps and filler excluded from transaction comparison"", ""Unassigned description tail 56:132 excluded: source STRING assigns prefix only""]"
complementary,source-guided,E1-1,zero-shot,interest,ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero,INTCALC-OBL-005,"[""default_nonzero"", ""final_account_eof"", ""multiple_accounts"", ""specific_nonzero"", ""specific_zero""]",4a80438c43513c0976600619e5ec75f24cd991afbd1238449d93b6842dfe722d,accepted_to_invocation,True,interest_stable_fields_order,source-derived,pass,[],<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero/replay/applications/0001-d9e65a8e5e8fa792/zero-shot-runs/p2b-runs/interest-nk5s2lwu/audit.json,"[""ASCII signed DISPLAY qualified; overflow unqualified"", ""financial expectation requires final group update; source legacy does not"", ""timestamps and filler excluded from transaction comparison"", ""Unassigned description tail 56:132 excluded: source STRING assigns prefix only""]"
complementary,source-guided,E1-1,zero-shot,interest,ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero,INTCALC-OBL-006,"[""default_nonzero"", ""final_account_eof"", ""multiple_accounts"", ""specific_nonzero"", ""specific_zero""]",4a80438c43513c0976600619e5ec75f24cd991afbd1238449d93b6842dfe722d,accepted_to_invocation,True,interest_stable_fields_order,source-derived,pass,[],<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero/replay/applications/0001-d9e65a8e5e8fa792/zero-shot-runs/p2b-runs/interest-nk5s2lwu/audit.json,"[""ASCII signed DISPLAY qualified; overflow unqualified"", ""financial expectation requires final group update; source legacy does not"", ""timestamps and filler excluded from transaction comparison"", ""Unassigned description tail 56:132 excluded: source STRING assigns prefix only""]"
complementary,source-guided,E1-1,zero-shot,interest,ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero,INTCALC-OBL-007,"[""default_nonzero"", ""final_account_eof"", ""multiple_accounts"", ""specific_nonzero"", ""specific_zero""]",4a80438c43513c0976600619e5ec75f24cd991afbd1238449d93b6842dfe722d,accepted_to_invocation,True,accounts_legacy_all_fields,source-derived,pass,[],<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero/replay/applications/0001-d9e65a8e5e8fa792/zero-shot-runs/p2b-runs/interest-nk5s2lwu/audit.json,"[""ASCII signed DISPLAY qualified; overflow unqualified"", ""financial expectation requires final group update; source legacy does not"", ""timestamps and filler excluded from transaction comparison"", ""Unassigned description tail 56:132 excluded: source STRING assigns prefix only""]"
complementary,source-guided,E1-1,zero-shot,interest,ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero,INTCALC-OBL-008,"[""default_nonzero"", ""final_account_eof"", ""multiple_accounts"", ""specific_nonzero"", ""specific_zero""]",4a80438c43513c0976600619e5ec75f24cd991afbd1238449d93b6842dfe722d,accepted_to_invocation,True,accounts_legacy_all_fields,source-derived,pass,[],<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero/replay/applications/0001-d9e65a8e5e8fa792/zero-shot-runs/p2b-runs/interest-nk5s2lwu/audit.json,"[""ASCII signed DISPLAY qualified; overflow unqualified"", ""financial expectation requires final group update; source legacy does not"", ""timestamps and filler excluded from transaction comparison"", ""Unassigned description tail 56:132 excluded: source STRING assigns prefix only""]"
complementary,source-guided,E1-1,zero-shot,interest,ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero,INTCALC-OBL-007,"[""default_nonzero"", ""final_account_eof"", ""multiple_accounts"", ""specific_nonzero"", ""specific_zero""]",4a80438c43513c0976600619e5ec75f24cd991afbd1238449d93b6842dfe722d,accepted_to_invocation,True,accounts_financial_all_groups,explicit_financial_expectation_not_legacy_equivalence,failed,"[""value_or_multiplicity"", ""ordered_records_differ""]",<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero/replay/applications/0001-d9e65a8e5e8fa792/zero-shot-runs/p2b-runs/interest-nk5s2lwu/audit.json,"[""ASCII signed DISPLAY qualified; overflow unqualified"", ""financial expectation requires final group update; source legacy does not"", ""timestamps and filler excluded from transaction comparison"", ""Unassigned description tail 56:132 excluded: source STRING assigns prefix only""]"
complementary,source-guided,E1-1,zero-shot,interest,ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero,INTCALC-OBL-008,"[""default_nonzero"", ""final_account_eof"", ""multiple_accounts"", ""specific_nonzero"", ""specific_zero""]",4a80438c43513c0976600619e5ec75f24cd991afbd1238449d93b6842dfe722d,accepted_to_invocation,True,accounts_financial_all_groups,explicit_financial_expectation_not_legacy_equivalence,failed,"[""value_or_multiplicity"", ""ordered_records_differ""]",<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-rates-specific-default-zero/replay/applications/0001-d9e65a8e5e8fa792/zero-shot-runs/p2b-runs/interest-nk5s2lwu/audit.json,"[""ASCII signed DISPLAY qualified; overflow unqualified"", ""financial expectation requires final group update; source legacy does not"", ""timestamps and filler excluded from transaction comparison"", ""Unassigned description tail 56:132 excluded: source STRING assigns prefix only""]"
complementary,source-guided,E1-1,zero-shot,interest,ESSENTIAL12x7-V2-E1-1-single-final-eof,INTCALC-OBL-003,"[""final_account_eof"", ""single_account"", ""specific_nonzero""]",92cc572b97b052ed9585e9eee659436746b286903508482e5b9a838798667f52,accepted_to_invocation,True,interest_stable_fields_order,source-derived,pass,[],<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-single-final-eof/replay/applications/0001-36434386638a5dfe/zero-shot-runs/p2b-runs/interest-lzux_x5m/audit.json,"[""ASCII signed DISPLAY qualified; overflow unqualified"", ""financial expectation requires final group update; source legacy does not"", ""timestamps and filler excluded from transaction comparison"", ""Unassigned description tail 56:132 excluded: source STRING assigns prefix only""]"
complementary,source-guided,E1-1,zero-shot,interest,ESSENTIAL12x7-V2-E1-1-single-final-eof,INTCALC-OBL-004,"[""final_account_eof"", ""single_account"", ""specific_nonzero""]",92cc572b97b052ed9585e9eee659436746b286903508482e5b9a838798667f52,accepted_to_invocation,True,interest_stable_fields_order,source-derived,pass,[],<REDACTED_LOCAL_PATH>/casos/aws-carddemo-cycle-v1/P3/complementary-matrix-v2/parent-full84-v1/campaign/P3-COMPLEMENTARY-MATRIX-V2-ESSENTIAL12x7/cases/ESSENTIAL12x7-V2-E1-1-single-final-eof/replay/applications/0001-36434386638a5dfe/zero-shot-runs/p2b-runs/interest-lzux_x5m/audit.json,"[""ASCII signed DISPLAY qualified; overflow unqualified"", ""financial expectation requires final group update; source legacy does not"", ""timestamps and filler excluded from transaction comparison"", ""Unassigned description tail 56:132 excluded: source STRING assigns prefix only""]"
